language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,FINITE DECLARATIVE: na + subjunctive pres,FINITE DECLARATIVE: na + subjunctive past,FINITE DECLARATIVE: pu + indicative,mipos clauses: indicative,mipos clauses: subjunctive pres,mipos clauses: subjunctive past,d-linked constituent interrogative clause: indicative,d-linked constituent interrogative clause: subjunctive pres,d-linked constituent interrogative clause: subjunctive past,non-d-linked constituent interrogative clause: indicative,non-d-linked constituent interrogative clause: subjunctive pres,non-d-linked constituent interrogative clause: subjunctive past,polar interrogative clause,alternative interrogative clause,non-d-linked constituent interrogative clause with main clause syntax,polar interrogative clause with main clause syntax,concealed questions,intransitive use
Greek,aghnoo,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically ignorance implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,undecided,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
Greek,amfivalo,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,undecided,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,anakinono,announce,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
Greek,anarotieme,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,anisiho,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,typically ignorance implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,undecided,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,apeto,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,apodhiknio,prove,ratification,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,apofasizo,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,?typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable
Greek,arnume,deny,assessment,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,acceptable?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,undecided,unacceptable
Greek,vlepo,see,perception,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,undecided,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
