language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Hindi,maan-a,accept,assessment,neither,neither,neither,nether,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,not focus sensitive,undecided,typically belief-implying,undecided,always Q-toP veridcial,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,No
Hindi,inkaar,deny,assessment,neither,neither,neither,neither,non-neg-raising,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,undecided,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,ummeed,hope,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,prarthna,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,,prefer,bouletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,chah-,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,chintit,be worried,bouletic: negative,neither,neither,neither,always projective,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,(??) always ignorance-implying/always belief implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,dar,fear,bouletic: negative,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,No
Hindi,ghoshna,announce,communication,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-toP veridcial,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,,argue,communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,kah-,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,,always Q-to-P veridical,Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,incompatible,No
Hindi,N/A ,claim,communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,shikaayat,complain,communication,neither,neither,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,
Hindi,samjha-,explain,communication,neither,neither,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,(??)always belief-implying/typically belief-implying,gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,soochit,inform,communication,neither,neither,neither,,,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,compatible,incompatible,incompatible,compatible,
Hindi,bata-,tell ,communication,neither,neither,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,phusphusa-,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,
Hindi,likh-,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
