language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Kîîtharaka,îtîgîra,accept,assessment,typically veridical,neither,neither,typically projective,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,kaana,deny,assessment,typically veridical,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,compatibe,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,îrîgîîra,hope,bouletic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,romba,pray,bouletic,neither,neither,neither,neither,non neg-raising,typically,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Kîîtharaka,,prefer,bouletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,enda,want ,bouletic,neither,neither,neither,neither,always neg-raising,copmatible,compatible,typically,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,maka,be worried,bouletic:negative,neither,neither,neither,typcally projective,non neg-raising,typically,compatible,compatible,typically,incompatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,?,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Kîîtharaka,kuthûka,fear,bouletic:negative,typically veridical,neither,neither,typically projective,non-neg raising,typically,compatibe,compatible,typically,compatible,compatible,incompatibke,always,incompatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,tûmîîria,announce,communication,typically veridical,neither,neither,neither,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,,argue,communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,kinyîîria,assert,communication,typically veridical,neither,neither,neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,uga,claim,communication,typically veridical,neither,neither,neither,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,raramîka,complain,communication,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,ereeca,explain,communication,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,menyithia,inform,communication,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,
Kîîtharaka,îra,tell ,communication,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,ciîkîîria,whisper,communication: manner of saying,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,andîka,write,communication: manner of saying,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Kîîtharaka,banga,decide,decision,typically veridical,neither,neither,neither,non-neg raising,typically,compatible ,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,,demand,communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,atha/athana,order,directive,typically ant-veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,incompatible,not focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,,propose,directive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,Gwatanîra,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,,assume,doxastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,-rî na ûmma,be certain,doxastic,typically veridical,neither,neither,neither,non neg-rsising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,typically,not focus sensitive,gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,incompatioble,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,kûrithika,be convinced,doxastic,typically veridical,neither,neither,neither,non neg-rsising,typically,incompatible,compatible,always,incompatible,incompatible,compatible,compatible,typically,not focus sensitive,gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,incompatioble,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Kîîtharaka,,be unaware,doxastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,îtîgîa,believe,doxastic,typically veridical,neither,neither,typically projective,typically neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,typically,not focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,îrîgîîra,expect,doxastic,neither,neither,neither,neither,typically neg-raising,typically,incompatibe,compatible,compatible,incompatible,compatible,always,incompatible,incompatible,not focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,menya,know,doxastic,typically veridical,neither,neither,always projective,non neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,typically,focus sensitive,gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,incompatioble,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,,suspect,doxastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,thûgaania,think,doxastic,neither,neither,neither,neither,non neg-raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,typically,not focus sensitive,gradable,typically ignorance-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Kîîtharaka,kûgwata,be right ,doxastic: eavaluative,always veridical,contradictory,redundant,always reversive,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,Kûbîtia,be wrong,doxastic:evaluative,always anti-veridical,redundant,conttradictory,always projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,focus sensitive,gradable,typically belief-implying,non-gradable,always Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
