language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite declerative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,intransitive use
French,accepter,accept,assessment,typically veridical,neither,neither,neither,always neg-raising,typically,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,??,acceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,acceptable,unacceptable
French,nier,deny,assessment,neither,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,espérer,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,undecided
French,prier,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,pour required,unacceptable,unacceptable,unacceptable,acceptable
French,préférer,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,vouloir,want ,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
French,être inquiet(e),be worried,bouletic: negative,typically veridical,neither,neither,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,typically,compatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,de required,de required,de savoir required,de savoir required,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,acceptable
French,craindre,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
French,annoncer,announce,communication,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,polarity sensitive,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
French,soutenir,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable
French,affirmer,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,prétendre,claim,communication,neither,neither,neither,typically reversive,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,se plaindre,complain,communication,typically veridical,contradictory,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable,,,,,,acceptable,acceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,expliquer,explain,communication,always veridical,,redundant,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,always belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,undecided,acceptable,acceptable,polarity sensitive,polarity sensitive,unacceptable,unacceptable,acceptable,acceptable,?,acceptable,unacceptable
French,informer,inform,communication,typically veridical,neither,redundant,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,de required,de required,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,de required,unacceptable
