language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite declarative clause: to,finite declarative clause: no,finite declarative clause: koto,finite declarative clause: tokoro,finite declarative clause: hoo,Finite d-linked constituent interrogative clause: to,Finite d-linked constituent interrogative clause: ka,finite non-d-linked constituent interrogative clause: to,finite non-d-linked constituent interrogative clause: ka,finite polar interrogative clause: to,finite polar interrogative clause: ka,finite alternative interrogative clause: to,finite alternative interrogative clause: ka,non-finite declarative clause without subject,concealed q
Japanese,認める mitome-ru,accept,assessment,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,,,,,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,否定する hitee suru,deny,assessment,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,,,,,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,望む nozom-u,hope,bouletic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,undecided,,,,,,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Japanese,祈る inor-u,pray,bouletic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,non-gradable,,,,,,acceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Japanese,好む konom-u,prefer,bouletic,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,,,,,,unacceptable,unacceptable,acceptable,"acceptable
",incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,たい -tai / 欲しい hosi-i,want,bouletic,neither,neither,neither,neither,typicalle neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,gradable,,,,,,,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,心配する sinpai suru,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,neutral,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,恐れる osore-ru,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,,,,,,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,発表する happyoo suru,announce,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,論じる ronzi-ru,argue,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,断言する dangen suru,assert,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,主張する syutyoo suru,claim,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,?,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,??
Japanese,文句を言う monku-o i-u,complain,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable
Japanese,説明する setumee suru,explain,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
Japanese,知らせる sir-ase-ru,inform,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Japanese,伝える tutae-ru,tell,communication,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
Japanese,囁く sasayak-u,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
