language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the complement,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,gradability ex,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,Intransitive use
Dutch,nld001,accepteren,accept,assessment,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(er),*(er),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,nld001,ontkennen,deny,assessment,typically veridical,neither,neither,neither,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,undecided,undecided
Dutch,nld001,hopen,hope,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
Dutch,nld001,bidden,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Dutch,nld001,liever hebben,prefer,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,complex-predicate,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,nld001,willen,want ,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,nld001,bang zijn,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,*(om),unacceptable,unacceptable,unacceptable,acceptable
Dutch,nld001,vrezen,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,nld001,aankondigen,announce,communication,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,beargumenteren,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable
