consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite indicative declarative clause,finite subjunctive declarative clause,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,Intransitive use
cat1,acceptar,accept,assessment,always veridical,contradictory,redundant (look note),always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,undecided,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,compatible,?,?,*,*,?,*,compatible,?,?,*,??,compatible,not having an intransitive use
cat1,negar,deny (specific notes),assessment,typically anti-veridical,neither,neither,neither,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus-sensitive,undecided (look note),N/A,N/A,N/A,N/A,N/A,?,compatible,*,*,*,*,*,*,compatible,*,*,*,*,* (not polar),not having an intransitive use
cat1,esperar,hope,bouletic,neither,neither,neither,neither,non-neg-raising,tipically,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable (look note),N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an intransitive use
cat1,pregar,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,?,*,*,*,*,*,not having an intransitive use (note)
cat1,preferir,prefer,bouletic,neither,neither,neither,neither,tipically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,undecided,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an instransitive use.
cat1,voler,want ,bouletic,neither,neither,neither,neither,neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus-sensitive,undecided (afegir nota),N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an instransitive use.
cat1,preocupar-se,be worried ,bouletic: negative,neither,neither,neither,neither,non-neg-raising,tipically,compatible,compatible,incompatible,incompatible,always,incompatible,tipically,compatible,focus-sensitive,gradable,ignorance-implying ,gradable,Q-to-P anti-veridical,Q-to-P non distributive,P-to-Q non distributive,*,compatible,compatible,compatible,compatible,compatible,compatible,*,?,compatible,compatible,*,*,compatible,having an intransitive use
cat1,témer,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,incomp,incomp,always,incomp,always,incomp,focus-sensitive,gradable,ignorance-implying ,gradable,neither,Q-to-P distributive,P-to-Q distributive,*,compatible,??,? (note),*,*,?,*,compatible,?,?,*,*,compatible,not having an intransitive use
cat1,anunciar,announce,communication,tipically veridical,neither,neither,always projective (ind/subj),non-neg-raising (ind/subj),typically ///,compatible,compatible,typically,compatible,compatibe,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,???,?,*,*,compatible,not having an intransitive use
cat1,argumentar,argue,communication,neither,neither,neither,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always/tipically belief-implying,undecided,neither,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,?,?,compatible,*,?,compatible,compatible,???,?,compatible,not having an intransitive use
cat1,asseverar,assert,communication,typically veridical,neither,neither ,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable (look note),always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,?,?,?,compatible,compatible,*,compatible,?,?,??,??,?,not having an intransitive use
cat1,afirmar,claim ,communication,typically veridical,neither,neither,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable (look note),always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,?,compatible,?,?,?,*,compatible,??,?,*,???,compatible,not having an intransitive use
cat1,queixar-se,complain,communication,always veridical,neither,neither,always projective (ind/subj),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,incompatible,always,incompatible,focus-sensitive (see partial-utterances scenarios),gradable,always/tipically belief-implying,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,compatible,compatible,compatible,*,???,compatible,*,??,??,*,*,*,compatible,having an intransitive use
cat1,explicar,explain,communication,typically veridical,neither,neither,neither (subj)/always projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always/tipically belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,???,compatible,compatible,*,*,compatible,not having an instransitive use.
